Selection in region 6JB,analysis_V5_Cutflow,analysis_V5_PAPER_CUTFLOW_Countflow,6JB_relative_error_std
evtweigt 386/30469,386.00000836793333 ±2.21,386.0 ±19.65,1.5329073419918133e-08
Size(goodJets) >= 2,385.83531638234854 ±2.21,385.0 ±19.62,0.0015325137959867124
Size(goodLepts) == 1,104.37671301793307 ±1.15,295.0 ±17.18,0.6750069019223781
Pt(goodLepts) descend,104.37671301793307 ±1.15,295.0 ±17.18,0.6750069019223781
MTL > 50,93.03830324113369 ±1.09,253.0 ±15.91,0.6537426605602147
MET > 250,72.47714227158576 ±0.96,202.3000030517578 ±14.22,0.6681678354484166
Pt(goodLepts) > 25,68.51186600327492 ±0.93,190.8000030517578 ±13.81,0.6669248984303205
Size(goodJets) >= 6,26.806787807494402 ±0.58,62.099998474121094 ±7.88,0.5613985081671463
Size(bjet) > 0,26.806787807494402 ±0.58,18.200000762939453 ±4.27,0.27044442301894556
fAplanarity(goodJets) > 0.01,25.147199337370694 ±0.56,17.700000762939453 ±4.21,0.24580204076321907
Meff > 700,25.147199337370694 ±0.56,17.700000762939453 ±4.21,0.24580204076321907
MET > 300,22.372772810980678 ±0.53,16.100000381469727 ±4.01,0.23057968291288136
MTL > 250,14.404214431531727 ±0.43,12.0 ±3.46,0.12877007436604312
