Selection in region 2JBveto,analysis_V6_Cutflow,analysis_V6_PAPER_CUTFLOW_Countflow,2JBveto_relative_error_std
evtweigt 0.4061,10077.777721881866 ±63.97,10080.0 ±100.40,0.00015590884557764727
Size(goodJets) >= 2,9309.842612594366 ±61.49,9530.0 ±97.62,0.016526123361430795
Size(goodEles) >= 0,9309.842612594366 ±61.49,9530.0 ±97.62,0.016526123361430795
Size(goodMuos) >= 0,9309.842612594366 ±61.49,9530.0 ±97.62,0.016526123361430795
Size(goodLepts) == 1,1593.9425192773342 ±25.44,7130.0 ±84.44,0.8974345663116048
Pt(goodLepts) descend,1593.9425192773342 ±25.44,7130.0 ±84.44,0.8974345663116048
MTL > 50,992.5084120035172 ±20.08,4460.0 ±66.78,0.8993610391070191
MET > 250,312.2909037768841 ±11.26,2160.0 ±46.48,1.0569368107963901
Pt(goodLepts) < 25,140.10450169444084 ±7.54,1150.0 ±33.91,1.1070482340054073
MET > 400,58.07230070233345 ±4.86,492.0 ±22.18,1.11561050547825
Size(bjet) == 0,49.950300604104996 ±4.50,402.0 ±20.05,1.1016110816821167
ratio > 0.25,49.950300604104996 ±4.50,402.0 ±20.05,1.1016110816821167
MTL > 100,34.924600422382355 ±3.77,251.0 ±15.84,1.0687319668417445
